type,skill,job,cv
general,electrical,8,0
hard,testing,7,1
general,systems,4,16
general,designing,4,1
general,product,4,1
hard,components,4,0
general,information,3,3
general,engineer,3,2
general,professional,3,2
general,products,3,0
general,methods,3,0
general,maintains,3,0
general,electrical engineer,3,0
general,,2,88
hard,data,2,1
soft,research,2,1
hard,design,2,0
general,job,2,0
general,programs,2,0
general,knowledge,2,0
general,materials,2,0
general,capabilities,2,0
general,develops,2,0
general,manufacturing,2,0
general,equipment,2,0
general,quality,2,0
general,analyzing,2,0
general,results,2,0
general,electronic,2,0
general,engineer job,2,0
general,electrical systems,2,0
general,testing methods,2,0
general,methods testing,2,0
general,maintains product,2,0
general,electrical engineer job,2,0
general,testing methods testing,2,0
general,system,1,7
general,engineering,1,6
general,computer,1,5
hard,technical,1,4
soft,training,1,3
hard,applications,1,2
hard,database,1,2
soft,management,1,2
general,company,1,2
general,service,1,2
hard,reporting,1,1
hard,troubleshooting,1,1
general,developing,1,1
general,requirements,1,1
general,processes,1,1
general,reports,1,1
general,networks,1,1
general,skills,1,1
general,qualifications,1,1
general,electronics,1,1
general,project,1,1
general,focus,1,1
hard,personal,1,0
hard,computer programs,1,0
soft,team,1,0
soft,innovation,1,0
soft,attention to detail,1,0
soft,attention,1,0
general,responsibilities,1,0
general,designs,1,0
general,duties,1,0
general,evaluates,1,0
general,conducting,1,0
general,applying,1,0
general,electricity,1,0
general,confirms,1,0
general,properties,1,0
general,studying,1,0
general,customer,1,0
general,researching,1,0
general,assembly,1,0
general,modifying,1,0
general,building,1,0
general,assembling,1,0
general,soliciting,1,0
general,observations,1,0
general,operators,1,0
general,assures,1,0
general,finished,1,0
general,prepares,1,0
general,collecting,1,0
general,summarizing,1,0
general,trends,1,0
general,provides,1,0
general,answering,1,0
general,questions,1,0
general,requests,1,0
general,reputation,1,0
general,complying,1,0
general,federal,1,0
general,state,1,0
general,regulations,1,0
general,keeps,1,0
general,operational,1,0
general,following,1,0
general,manufacturers,1,0
general,instructions,1,0
general,established,1,0
general,procedures,1,0
general,requesting,1,0
general,repair,1,0
general,base,1,0
general,writing,1,0
general,entering,1,0
general,completes,1,0
general,projects,1,0
general,guiding,1,0
general,technicians,1,0
general,attending,1,0
general,educational,1,0
general,workshops,1,0
general,reviewing,1,0
general,publications,1,0
general,establishing,1,0
general,participating,1,0
general,societies,1,0
general,contributes,1,0
general,effort,1,0
general,accomplishing,1,0
general,related,1,0
general,needed,1,0
general,detail,1,0
general,emphasizing,1,0
general,excellence,1,0
general,job responsibilities,1,0
general,designs electrical,1,0
general,testing components,1,0
general,job duties,1,0
general,evaluates electrical,1,0
general,systems products,1,0
general,products components,1,0
general,conducting research,1,0
general,research programs,1,0
general,programs applying,1,0
